Number of Trees for Random Forest,Train Accuracy,Validation Accuracy
1,0.9690990092967431,0.9168387326450694
5,0.9916695485892142,0.9492346030615878
10,0.9917305775372786,0.9486650053399787
15,0.9972435258457595,0.950373798504806
20,0.9972333543544154,0.9490922036311855
25,0.9988607929694652,0.9491634033463866
50,0.9996033118375817,0.9489498042007832
75,0.9999186280692475,0.9491634033463866
100,0.9999796570173118,0.9489498042007832
